title,authors,genre,cover,average_rating,ratings_count,summary,,num_pages,published_year,subtitle,isbn10,isbn13
Cryptonomicon,Neal Stephenson,Fiction,http://books.google.com/books/content?id=qYAmfUBPN-UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.25,80225,"With this extraordinary first volume in what promises to be an epoch-making masterpiece, Neal Stephenson hacks into the secret histories of nations and the private obsessions of men, decrypting with dazzling virtuosity the forces that shaped this century. In 1942, Lawrence Pritchard Waterhouse - mathematical genius and young Captain in the U.S. Navy - is assigned to detachment 2702. It is an outfit so secret that only a handful of people know it exists, and some of those people have names like Churchill and Roosevelt. The mission of Watrehouse and Detatchment 2702-commanded by Marine Raider Bobby Shaftoe-is to keep the Nazis ignorant of the fact that Allied Intelligence has cracked the enemy's fabled Enigma code. It is a game, a cryptographic chess match between Waterhouse and his German counterpart, translated into action by the gung-ho Shaftoe and his forces. Fast-forward to the present, where Waterhouse's crypto-hacker grandson, Randy, is attempting to create a ""data haven"" in Southeast Asia - a place where encrypted data can be stored and exchanged free of repression and scrutiny. As governments and multinationals attack the endeavor, Randy joins forces with Shaftoe's tough-as-nails grandaughter, Amy, to secretly salvage a sunken Nazi sumarine that holds the key to keeping the dream of a data haven afloat. But soon their scheme brings to light a massive conspiracy with its roots in Detachment 2702 linked to an unbreakable Nazi code called Arethusa. And it will represent the path to unimaginable riches and a future of personal and digital liberty...or to universal totalitarianism reborn. A breathtaking tour de force, and Neal Stephenson's most accomplished and affecting work to date, CRYPTONOMICON is profound and prophetic, hypnotic and hyper-driven, as it leaps forward and back between World War II and the World Wide Web, hinting all the while at a dark day-after-tomorrow. It is a work of great art, thought, and creative daring; the product of a truly icon",,1139,2002,,60512806,9780060512804
The Once and Future King,Terence Hanbury White,Fiction,http://books.google.com/books/content?id=kdLT8_tnpmEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.08,82205,"Describes King Arthur's life from his childhood to the coronation, creation of the Round Table, and search for the Holy Grail",,639,1987,,441627404,9780441627400
Magic Bites,Ilona Andrews,Fiction,http://books.google.com/books/content?id=46yJDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.07,82231,"Earning a living cleaning up magical messes, mercenary Kate Daniels is drawn into a power struggle between two factions--necromancers and shapeshifters--within Atlanta's magic circles when her guardian is murdered. Original.",,260,2007,,441014895,9780441014897
This Present Darkness,Frank E. Peretti,Fiction,http://books.google.com/books/content?id=eFBOvBvKqE4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.23,82841,A prayerful pastor and a skeptical reporter compare notes and find themselves fighting a plot to subjugate the human race. A gripping look into the invisible spiritual warfare around us and the power of prayer.,,376,2003,,1581345283,9781581345285
A Dirty Job,Christopher Moore,Fiction,http://books.google.com/books/content?id=W8EPgwEP_hoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.07,88016,"Charlie Asher is a pretty normal guy. A little hapless, somewhat neurotic, sort of a hypochondriac. He's what's known as a Beta Male: the kind of fellow who makes his way through life by being careful and constant -- you know, the one who's always there to pick up the pieces when the girl gets dumped by the bigger/taller/stronger Alpha Male. But Charlie's been lucky. He owns a building in the heart of San Francisco, and runs a secondhand store with the help of a couple of loyal, if marginally insane, employees. He's married to a bright and pretty woman who actually loves him for his normalcy. And she, Rachel, is about to have their first child. Yes, Charlie's doing okay for a Beta. That is, until the day his daughter, Sophie, is born. Just as Charlie -- exhausted from the birth -- turns to go home, he sees a strange man in mint-green golf wear at Rachel's hospital bedside, a man who claims that no one should be able to see him. But see him Charlie does, and from here on out, things get really weird. . . . People start dropping dead around him, giant ravens perch on his building, and it seems that everywhere he goes, a dark presence whispers to him from under the streets. Strange names start appearing on his nightstand notepad, and before he knows it, those people end up dead, too. Yup, it seems that Charlie Asher has been recruited for a new job, an unpleasant but utterly necessary one: Death. It's a dirty job. But hey, somebody's gotta do it. Christopher Moore, the man whose Lamb served up Jesus' ""missing years"" (with the funny parts left in), and whose Fluke found the deep humor in whale researchers' lives, now shines his comic light on the undiscovered country we all eventually explore -- death and dying -- and the results are hilarious, heartwarming, and a hell of a lot of fun.",,387,2006,A Novel,60590270,9780060590277
Eleven on Top,Janet Evanovich,Fiction,http://books.google.com/books/content?id=T7uR17fOgAoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.16,89961,"Hoping to discontinue her career as a bounty hunter for something safer, Stephanie Plum is inadvertently drawn into a case that is complicated by her tangled love life, her chaotic family, and her penchant for wrecking cars, in a new adventure by the author of Ten Big Ones. Reprint.",,321,2006,,312985347,9780312985349
The Murder of Roger Ackroyd,Agatha Christie,Fiction,http://books.google.com/books/content?id=vipSK5f4hbgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.23,93453,"A widow's sudden suicide sparks rumors that she murdered her first husband, was being blackmailed, and was carrying on a secrey affair with the wealthy Roger Ackroyd. The following evening, Ackroyd is murdered in his locked study, but not before receiving a letter identifying the widow's blackmailer. Kings Abbot is crawling with suspects and it's up to famous detective, Hercule Poirot, to solve the case.",,288,1926,A Hercule Poirot Mystery,1579126278,9781579126278
Aesop's Fables,Laura Gibbs,Fiction,http://books.google.com/books/content?id=K7XwvvIfXh4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.05,95008,A collection of familiar short moral tales.,,306,2002,,192840509,9780192840509
The Complete Hans Christian Andersen Fairy Tales,Hans Christian Andersen,Fiction,http://books.google.com/books/content?id=n4O_9qeNxZYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.28,95929,More than 156 of the great Dane's best-loved fairy tales.,,803,1984,,517092913,9780517092910
Alanna,Tamora Pierce,Fiction,http://books.google.com/books/content?id=_uvOvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.27,96683,"""From now on I'm Alan of Trebond, the younger twin. I'll be a knight."" And so young Alanna of Trebond begins the journey to knighthood. Though a girl, Alanna has always craved the adventure and daring allowed only for boys; her twin brother, Thom, yearns to learn the art of magic. So one day they decide to switch places: Disguised as a girl, Thom heads for the convent to learn magic; Alanna, pretending to be a boy, is on her way to the castle of King Roald to begin her training as a page. But the road to knighthood is not an easy one. As Alanna masters the skills necessary for battle, she must also learn to control her heart and to discern her enemies from her allies. Filled with swords and sorcery, adventure and intrigue, good and evil, Alanna's first adventure begins -- one that will leard to the fulfillment of her dreams and the magical destiny that will make her a legend in her land. Alanna's journey continues...",,274,2005,The First Adventure,689878559,9780689878558
